rang,titre,sous_titre,auteurs,editeur,collection,isbn,format,prix,date,url_livre,url_couverture,score_titre,confiance_titre,justif_titre,score_description,confiance_description,source_incomplete,justif_description,ecart_titre_description,source_notation
1,IA : le grand enfumage : Résister aux sirènes de l'intelligence artificielle,,"Theo Alves da Costa, Lou Welgryn",Payot,Documents,9782228941235,Grand format,19.90 €,6 Mai 2026,https://www.librel.be/livre/9782228941235-ia-le-grand-enfumage-resister-aux-sirenes-de-l-intelligence-artificielle-theo-alves-da-costa-lou-welgryn/,https://images.epagine.fr/235/9782228941235_1_m.jpg,5,3,"« Enfumage », « résister aux sirènes » : tromperie et danger explicites.",5,3,non,"Exploitation, concentration du pouvoir : thèse centrale.",0,calibration_manuelle
2,Le Désert de nous-mêmes : Le tournant intellectuel et créatif de l'intelligence artificielle,,Eric Sadin,L'Échappée,,9782373091762,Grand format,19.00 €,3 Octobre 2025,https://www.librel.be/livre/9782373091762-le-desert-de-nous-memes-le-tournant-intellectuel-et-creatif-de-l-intelligence-artificielle-eric-sadin/,https://images.epagine.fr/762/9782373091762_1_m.jpg,4,3,"Métaphore de vide/perte forte, tempérée par « tournant intellectuel et créatif ».",5,3,non,"« Extrême gravité », humanité absente à elle-même : thèse centrale.",-1,calibration_manuelle
3,"Intelligence artificielle, intelligence humaine : la double énigme",,Daniel Andler,Folio,Folio Essais,9782073138309,Poche,11.20 €,10 Septembre 2026,https://www.librel.be/livre/9782073138309-intelligence-artificielle-intelligence-humaine-la-double-enigme-daniel-andler/,https://images.epagine.fr/309/9782073138309_1_m.jpg,0,3,"Neutre, cadre académique, « énigme » = curiosité, pas menace.",1,3,non,Rejette l'objectif de « surpasser » l'humain comme incohérent ; pas de thèse de menace.,-1,calibration_manuelle
4,"Mythologies web : Moteurs de recherche, réseaux sociaux et intelligence artificielle",,Jean-Marie Schaeffer,Gallimard,Tracts,9782073152626,Grand format,3.90 €,4 Décembre 2025,https://www.librel.be/livre/9782073152626-mythologies-web-moteurs-de-recherche-reseaux-sociaux-et-intelligence-artificielle-jean-marie-schaeffer/,https://images.epagine.fr/626/9782073152626_1_m.jpg,1,3,"« Mythologies » = critique analytique, aucun mot de menace direct.",5,3,non,"« Menaces », « survie en jeu » pour la démocratie : thèse frontale.",-4,calibration_manuelle
5,Peine Kapital : Monologue avec l'intelligence artificielle,,Marie José Mondzain,La Fabrique Éditions,,9782358723176,Grand format,16.00 €,3 Avril 2026,https://www.librel.be/livre/9782358723176-peine-kapital-monologue-avec-l-intelligence-artificielle-marie-jose-mondzain/,https://images.epagine.fr/176/9782358723176_1_m.jpg,3,3,"Jeu de mots sombre (peine capitale/capital) mais cryptique, pas immédiat.",5,3,non,"« Tyrans de la planète », « décapitation symbolique » : domination totale.",-2,calibration_manuelle
6,Dealers de mots : La langue comme capital de l'intelligence artificielle,,Frédéric Kaplan,Actes Sud,La Compagnie Des Langues,9782330224127,Grand format,19.00 €,2 Septembre 2026,https://www.librel.be/livre/9782330224127-dealers-de-mots-la-langue-comme-capital-de-l-intelligence-artificielle-frederic-kaplan/,https://images.epagine.fr/127/9782330224127_1_m.jpg,4,3,"« Dealers » = métaphore d'exploitation/trafic, claire.",4,3,non,"Capitalisme linguistique, mots « volés » : thèse développée, ton factuel.",0,calibration_manuelle
7,Tout comprendre ( ou presque ) sur l'intelligence artificielle,,"Olivier Cappe, Claire Marc",CNRS,,9782271154248,Grand format,19.00 €,10 Avril 2025,https://www.librel.be/livre/9782271154248-tout-comprendre-ou-presque-sur-l-intelligence-artificielle-olivier-cappe-claire-marc/,https://images.epagine.fr/248/9782271154248_1_m.jpg,0,3,"Neutre, pédagogique, aucune évocation de menace.",1,3,non,"« Anxiogène »/« créature menaçante » cités comme discours ambiant, puis démystifiés.",-1,calibration_manuelle
8,Intelligence artificielle & nouveau fascisme,,"Rainer Muhlhoff, Pierre Deshusses",Agone,Contre-Feux,9782748906264,Grand format,15.00 €,11 Septembre 2026,https://www.librel.be/livre/9782748906264-intelligence-artificielle-nouveau-fascisme-rainer-muhlhoff/,https://images.epagine.fr/264/9782748906264_1_m.jpg,5,3,"« Nouveau fascisme » : maximal, sans ambiguïté.",5,3,non,"Exploitation, mépris de l'humain, dérives autoritaires : thèse centrale.",0,calibration_manuelle
9,Un taylorisme augmenté : Critique de l'intelligence artificielle,,Juan sebastian Carbonell,Éditions Amsterdam,,9782354803230,Grand format,13.00 €,5 Septembre 2025,https://www.librel.be/livre/9782354803230-un-taylorisme-augmente-critique-de-l-intelligence-artificielle-juan-sebastian-carbonell/,https://images.epagine.fr/230/9782354803230_1_m.jpg,4,3,« Taylorisme augmenté » + « Critique » explicite : métaphore d'exploitation.,5,3,non,"Contrôle et surveillance de la main-d'œuvre, appel à résister : thèse centrale.",-1,calibration_manuelle
10,Magnifica Humanitas - Magnifique Humanité : Lettre encyclique sur la protection de la personne humaine à l'ère de l'intelligence artificielle,,Léon XIV,Éditions Artège,,9791033617624,Grand format,4.90 €,2 Juin 2026,https://www.librel.be/livre/9791033617624-magnifica-humanitas-magnifique-humanite-lettre-encyclique-sur-la-protection-de-la-personne-humaine-a-l-ere-de-l-intelligence-artificielle-leon-xiv/,https://images.epagine.fr/624/9791033617624_1_m.jpg,1,3,"« Protection de la personne humaine » : positif, pas de menace frontale.",2,3,non,Dangers cités mais explicitement « loin d'un discours de peur ».,-1,calibration_manuelle
11,Faut-il encore décider ? La décision humaine à l'ère de l'intelligence artificielle,,"Olivier Sibony, Eric Hazan",Flammarion,Essais,9782080146687,Grand format,19.00 €,25 Février 2026,https://www.librel.be/livre/9782080146687-faut-il-encore-decider-la-decision-humaine-a-l-ere-de-l-intelligence-artificielle-olivier-sibony-eric-hazan/,https://images.epagine.fr/687/9782080146687_1_m.jpg,1,3,"Question neutre, aucun mot de menace fort.",1,3,non,« Sans optimisme béat ni technophobie réflexe » : équilibre revendiqué.,0,calibration_manuelle
12,Faussaires algorithmiques : L'intelligence artificielle va-t-elle remplacer les artistes ?,,"Louis  de Diesbach, Laurence Devillairs",Editions de l'Aube,Monde En Cours,9782815970280,Grand format,17.90 €,3 Avril 2026,https://www.librel.be/livre/9782815970280-faussaires-algorithmiques-l-intelligence-artificielle-va-t-elle-remplacer-les-artistes-louis-de-diesbach/,https://images.epagine.fr/280/9782815970280_1_m.jpg,5,3,"« Faussaires », remplacement des artistes : accusation frontale, malgré la question.",3,3,non,"Réflexion critique réelle mais présentée comme question ouverte, pas comme verdict.",2,calibration_manuelle
13,Schizophrénie numérique : de l'intelligence artificielle à l'exploitation attentionnelle,,Anne Alombert,Éditions Allia,Petite Collection,9791030429671,Poche,7.50 €,7 Avril 2023,https://www.librel.be/livre/9791030429671-schizophrenie-numerique-de-l-intelligence-artificielle-a-l-exploitation-attentionnelle-anne-alombert/,https://images.epagine.fr/671/9791030429671_1_m.jpg,5,3,« Schizophrénie » (pathologie) + « exploitation attentionnelle » explicite.,4,3,non,"« Conséquences désastreuses », cerveaux contrôlés ; conclut sur une note constructive.",1,calibration_manuelle
14,Mathématiques de l'intelligence pas si artificielle,,Stéphane Mallat,CNRS,Les Grandes Voix De La Recherche,9782271160751,Poche,9.00 €,10 Septembre 2026,https://www.librel.be/livre/9782271160751-mathematiques-de-l-intelligence-pas-si-artificielle-stephane-mallat/,https://images.epagine.fr/751/9782271160751_1_m.jpg,0,3,"Neutre, scientifique.",0,3,non,"Ton célébratoire, continuité des idées, entièrement positif.",0,calibration_manuelle
15,Pionniers : Voyage aux frontières de l'intelligence artificielle,,Guillaume Grallet,Éditions Grasset,Document,9782246841067,Grand format,22.10 €,5 Novembre 2025,https://www.librel.be/livre/9782246841067-pionniers-voyage-aux-frontieres-de-l-intelligence-artificielle-guillaume-grallet/,https://images.epagine.fr/067/9782246841067_1_m.jpg,0,3,"« Pionniers », « frontières » : neutre à positif.",2,3,non,"Portrait critique du pouvoir opaque des fondateurs tech, ton en partie ironique.",-2,calibration_manuelle
16,Chronologies visuelles des sciences : De la maîtrise du feu à l'intelligence artificielle,,Collectif,Gallimard Jeunesse,Encyclopédie Gallimard Jeunesse,9782075178952,Grand format,27.90 €,26 Octobre 2023,https://www.librel.be/livre/9782075178952-chronologies-visuelles-des-sciences-de-la-maitrise-du-feu-a-l-intelligence-artificielle-collectif/,https://images.epagine.fr/952/9782075178952_1_m.jpg,0,3,"Neutre, encyclopédique.",0,3,non,"Historique factuel, neutre.",0,calibration_manuelle
17,"C'est (pas) moi, c'est l'IA : Pour apprivoiser l'intelligence artificielle et en faire ton alliée",,"Pierre-Yves Oudeyer, Didier Roy, Clémentine Latron",Nathan,,9782095035433,Grand format,12.90 €,5 Septembre 2024,https://www.librel.be/livre/9782095035433-c-est-pas-moi-c-est-l-ia-pour-apprivoiser-l-intelligence-artificielle-et-en-faire-ton-alliee-pierre-yves-oudeyer-didier-roy-clementine-latron/,https://images.epagine.fr/433/9782095035433_1_m.jpg,0,3,"« Apprivoiser », « ton alliée » : réassurant.",1,3,non,"« Ça fait peur » et dangers cités, mais guide bienveillant, humour dominant.",-1,calibration_manuelle
18,Technopolice : La surveillance policière à l'ère de l'intelligence artificielle,,Felix Tréguer,Éditions Divergences,,9791097088729,Grand format,16.00 €,11 Octobre 2024,https://www.librel.be/livre/9791097088729-technopolice-la-surveillance-policiere-a-l-ere-de-l-intelligence-artificielle-felix-treguer/,https://images.epagine.fr/729/9791097088729_1_m.jpg,4,3,"« Technopolice », « surveillance policière » : contrôle explicite.",5,3,non,"« Amplifie la violence d'État », dérive autoritaire : thèse centrale.",-1,calibration_manuelle
19,"Intelligence artificielle, une bêtise écologique ?",,"Alice Durand, Grégory Bricout",Delachaux & Niestlé,,9782603032190,Grand format,13.50 €,27 Février 2026,https://www.librel.be/livre/9782603032190-intelligence-artificielle-une-betise-ecologique-alice-durand-gregory-bricout/,https://images.epagine.fr/190/9782603032190_1_m.jpg,3,3,« Bêtise » + question : jugement négatif net.,2,3,non,"Impact réel mais ton léger, pédagogique, biographie de l'autrice.",1,calibration_manuelle
20,Traumachine : Intelligence artificielle et techno-fascisme,,Frédéric Neyrat,Éditions MF,Dos Bleu,9782378041168,Poche,12.00 €,18 Août 2026,https://www.librel.be/livre/9782378041168-traumachine-intelligence-artificielle-et-techno-fascisme-frederic-neyrat/,https://images.epagine.fr/168/9782378041168_1_m.jpg,5,3,« Traumachine » + « techno-fascisme » explicite.,4,3,non,"« Traumatisme anthropologique », prise en otage ; propos philosophique dense.",1,calibration_manuelle
21,L'Oeil du maître : Une histoire sociale de l'intelligence artificielle,,Matteo Pasquinelli,Entremonde,Rupture,9782940426751,Grand format,22.00 €,17 Avril 2026,https://www.librel.be/livre/9782940426751-l-oeil-du-maitre-une-histoire-sociale-de-l-intelligence-artificielle-matteo-pasquinelli/,https://images.epagine.fr/751/9782940426751_1_m.jpg,4,3,Métaphore de surveillance/domination (l'œil du maître = contremaître).,4,3,non,"« Elle ne pense pas, elle automatise » les hiérarchies : thèse structurelle.",0,calibration_manuelle
22,Intelligence artificielle,,Brian Clegg,EDP Sciences,Short Cuts,9782759837809,Grand format,19.00 €,5 Mars 2026,https://www.librel.be/livre/9782759837809-intelligence-artificielle-brian-clegg/,https://images.epagine.fr/809/9782759837809_1_m.jpg,0,3,"Titre nu, neutre.",1,3,non,"« Mène-t-elle le monde à sa perte ? » parmi 8 questions ludiques, format fun.",-1,calibration_manuelle
23,L'intelligence artificielle en 5 minutes par jour,,Stéphane d' Ascoli,First Éditions,Le Petit Livre,9782412098271,Poche,3.50 €,7 Novembre 2024,https://www.librel.be/livre/9782412098271-l-intelligence-artificielle-en-5-minutes-par-jour-2e-edition-stephane-d-ascoli/,https://images.epagine.fr/271/9782412098271_1_m.jpg,0,3,"Neutre, pédagogique.",0,3,non,"Curiosité positive, aucune menace.",0,calibration_manuelle
24,Je ne suis pas un algorithme ! : Trouver du sens à l'ère de l'intelligence artificielle,,Nicolas Hazard,Flammarion,"Documents, Témoignages",9782080490001,Grand format,20.00 €,4 Février 2026,https://www.librel.be/livre/9782080490001-je-ne-suis-pas-un-algorithme-trouver-du-sens-a-l-ere-de-l-intelligence-artificielle-nicolas-hazard/,https://images.epagine.fr/001/9782080490001_1_m.jpg,3,3,"Titre défiant, suggère une réduction/manipulation à combattre.",3,3,non,"Manipulation des désirs par les algorithmes, diagnostic réel, résolution positive.",0,calibration_manuelle
25,"IA génératives, pas créatives : L'intelligence artificielle n'existe (toujours) pas",,Luc Julia,Le Cherche Midi,,9782749183497,Grand format,19.80 €,7 Mai 2025,https://www.librel.be/livre/9782749183497-ia-generatives-pas-creatives-l-intelligence-artificielle-n-existe-toujours-pas-luc-julia/,https://images.epagine.fr/497/9782749183497_1_m.jpg,1,3,"Titre correctif/démystifiant, pas une accusation de menace.",2,3,non,"Menaces réelles citées (emploi, info, environnement) mais visée démystificatrice.",-1,calibration_manuelle
26,Contre-atlas de l'intelligence artificielle,,"Kate Crawford, Laurent Bury",Zulma,,9791038702370,Poche,11.50 €,5 Octobre 2023,https://www.librel.be/livre/9791038702370-contre-atlas-de-l-intelligence-artificielle-kate-crawford/,https://images.epagine.fr/370/9791038702370_1_m.jpg,2,3,"« Contre » suggère la critique, reste un mot neutre en soi.",5,3,non,"« Nouveau colonialisme », toute-puissance des géants tech : thèse totale.",-3,calibration_manuelle
27,L'intelligence artificielle pour les bébés,,Chris Ferrie,Éditions Place des Victoires,Baby Sciences,9782809920925,Grand format,9.95 €,30 Avril 2026,https://www.librel.be/livre/9782809920925-l-intelligence-artificielle-pour-les-bebes-chris-ferrie/,https://images.epagine.fr/925/9782809920925_1_m.jpg,0,3,"Neutre, éducatif.",0,3,non,"Entièrement positif, éducatif.",0,calibration_manuelle
28,L'Intelligence artificielle pour les nullissimes,,Yasmina Salmandjee,Pour les nuls,Informatique,9782412110300,Grand format,19.95 €,27 Août 2026,https://www.librel.be/livre/9782412110300-l-intelligence-artificielle-pour-les-nullissimes-yasmina-salmandjee/,https://images.epagine.fr/300/9782412110300_1_m.jpg,0,3,"Neutre, pratique.",0,3,non,"Pratique, neutre.",0,calibration_manuelle
29,L'intelligence artificielle pour les nuls,,"Stephanie Diamond, Luca Massaron, John Paul Mueller",Pour les nuls,,9782412108871,Grand format,15.95 €,21 Mai 2026,https://www.librel.be/livre/9782412108871-l-intelligence-artificielle-pour-les-nuls-stephanie-diamond-luca-massaron-john-paul-mueller/,https://images.epagine.fr/871/9782412108871_1_m.jpg,0,3,Neutre.,0,3,non,"Pratique, neutre.",0,calibration_manuelle
30,L'intelligence artificielle en manga : Le mystère du chat robot,,"Choi Jaehun, Park Jongho, Baptiste Massa",Bayard Jeunesse,La Science En Manga,9791036380150,Grand format,12.95 €,25 Mars 2026,https://www.librel.be/livre/9791036380150-l-intelligence-artificielle-en-manga-le-mystere-du-chat-robot-choi-jaehun-park-jongho/,https://images.epagine.fr/150/9791036380150_1_m.jpg,1,3,"« Mystère » léger, pas de mot de menace.",1,3,non,Ambiguïté « gentil ou maléfique » posée puis résolue vers des usages positifs.,0,calibration_manuelle
31,Intelligence artificielle : et l'homme créa Dieu,,Gabrielle Halpern,Hermann,,9791037046666,Grand format,13.55 €,14 Janvier 2026,https://www.librel.be/livre/9791037046666-intelligence-artificielle-et-l-homme-crea-dieu-gabrielle-halpern/,https://images.epagine.fr/666/9791037046666_1_m.jpg,1,3,"Jeu de mots philosophique, ludique, pas menaçant.",1,3,non,"Comparaison ludique à Dieu, questions ouvertes, pas de thèse de menace.",0,calibration_manuelle
