mot,nombre_livres_sur_307
pouvoir,46
contrôle,40
remplacement,39
menace,35
danger,33
puissance,28
surveillance,24
domination,21
guerre,21
manipulation,19
illusion,16
crise,16
armes,14
biais,14
résistance,13
disparition,11
dépendance,11
discrimination,9
vie privée,9
mort,9
peur,8
inquiétude,8
déshumanisation,7
tromperie,7
catastrophe,7
dystopie,6
crainte,6
esclavage,5
conflit,5
destruction,5
addiction,5
soumission,4
effondrement,4
chaos,4
extinction,3
totalitarisme,3
tuer,3
chômage,2
apocalypse,2
